Batsman1_T1,Batsman2_T1,Batsman3_T1,Batsman4_T1,Batsman5_T1,Batsman6_T1,Batsman7_T1,Batsman8_T1,Bowler1_T1,Bowler2_T1,Bowler3_T1,Bowler4_T1,Bowler5_T1,Bowler6_T1,Batsman1_T2,Batsman2_T2,Batsman3_T2,Batsman4_T2,Batsman5_T2,Batsman6_T2,Batsman7_T2,Batsman8_T2,Bowler1_T2,Bowler2_T2,Bowler3_T2,Bowler4_T2,Bowler5_T2,Bowler6_T2,Winner_Team1
7.618337284,6.735729849,6.506620445,3.417890608,3.152424319,1.139901737,0.327156068,0.078813125,3.698781911,2.720537743,2.552378228,1.671478655,1.548078164,0.971810914,6.524755944,5.987210229,5.234342028,4.819092757,3.324697347,2.698687383,0.008087313,-0.049947855,2.400951076,2.285110274,2.036410213,1.793277945,1.330324236,0.431335759,1
4.646039675,4.107781915,3.968059645,2.471403461,2.001023135,1.80234806,1.556334307,0.463445718,7.160096255,5.26641272,4.940889794,3.235645773,2.116383808,1.828686876,3.709254654,3.258664565,3.022890808,2.744056148,2.027565229,1.645793325,0.004932044,-0.030460677,4.515669423,4.054710563,3.616067344,2.74692222,2.19843848,0.834979089,1
4.090349387,3.079447312,2.764664701,2.212509751,1.96914682,0.870930726,0.47773075,0.158350672,4.038481288,3.558417508,2.728102272,2.573040246,1.868335297,0.822988787,4.487157647,3.866646472,3.452599318,2.496032859,2.025468773,1.076670144,0.565177386,-0.080314783,4.191807296,3.21805098,2.358870625,1.96087966,0.143441192,0,0
3.31869169,2.498499575,2.243101727,1.795112601,1.597660877,0.706626816,0.387605292,0.128477304,4.009070404,3.532502765,2.708234432,2.55430167,1.854728847,0.81699524,3.640640784,3.137191057,2.801255243,2.025148154,1.419868383,0.515874191,-0.086884184,-0.105710796,4.161279791,3.532342804,3.105875704,2.248024103,1.824936789,0.126574719,1
3.31869169,2.498499575,2.243101727,1.795112601,1.597660877,0.706626816,0.387605292,0.128477304,4.009070404,3.532502765,2.708234432,2.55430167,1.854728847,0.81699524,3.640640784,3.137191057,2.801255243,2.025148154,1.643357511,1.331126609,0.458554836,-0.105710796,4.161279791,3.532342804,3.105875704,2.248024103,1.824936789,0.126574719,1
1.438936688,1.266014491,1.213744769,1.110005543,0.912592479,0.574307164,0.50564957,0.026000854,6.080545745,5.510539972,3.940708829,3.088903888,2.379691515,0,1.127372991,0.928571639,0.832427283,0.711947403,0.667164889,0.370085042,0.159332729,0.027693996,6.148399916,5.699498832,5.347533264,5.102234109,4.754668662,0.864956494,0
1.438936688,1.266014491,1.213744769,1.110005543,0.612594308,0.568855766,0.428261504,0.037345389,6.080545745,5.510539972,4.726165525,3.783080476,2.895847395,2.115281347,1.127372991,0.928571639,0.732288758,0.694963426,0.612121284,0.370085042,0.159332729,0.027693996,6.148399916,5.699498832,5.347533264,5.102234109,4.754668662,0.864956494,0
1.438936688,1.266014491,1.213744769,1.110005543,0.612594308,0.568855766,0.428261504,0.037345389,6.080545745,5.510539972,4.726165525,3.783080476,2.895847395,2.115281347,1.127372991,0.928571639,0.732288758,0.694963426,0.612121284,0.411568194,0.159332729,0.027693996,6.148399916,5.699498832,5.347533264,5.102234109,4.754668662,0.358086615,0
2.06028473,1.344776266,1.237288416,1.005580741,0.959272702,0.525879306,0.212259366,0.018773601,3.663223889,2.78405787,1.640369918,1.388994271,1.160289522,0.514270251,2.40823477,1.725259025,1.265985624,1.05634189,0.352544638,0.317445937,-0.058962948,-0.069143632,5.694848764,4.282401846,3.94288778,3.686793,1.657945499,1.022736629,0
5.308017927,4.138804851,3.911366101,3.171091711,2.358329774,1.999483702,1.011336646,0.17546661,1.732807771,1.457068782,1.330444303,0.490779726,0,0,5.717681859,5.370243581,3.382058814,2.406960746,1.996905539,1.34643212,0.487847802,0.011824451,2.161603706,1.821947651,1.739678043,1.467728523,0.21094454,0,1
2.06028473,1.344776266,1.239677705,1.202919294,0.959272702,0.525879306,0.212259366,0.018773601,3.663223889,2.78405787,1.640369918,1.388994271,1.160289522,0.914019374,2.40823477,1.725259025,1.265985624,1.05634189,0.352544638,0.317445937,-0.018218892,-0.044222211,5.694848764,4.282401846,3.94288778,2.5621916,1.657945499,1.022736629,0
2.06028473,1.344776266,1.239677705,1.202919294,0.959272702,0.525879306,0.212259366,0.018773601,3.663223889,2.78405787,1.640369918,1.388994271,1.160289522,0.914019374,2.841456321,2.370606102,1.690049657,0.956411667,0.361844785,0.330510598,0.282174166,-0.013664169,5.694848764,4.282401846,3.94288778,2.5621916,1.657945499,1.395231449,1
3.679347843,2.868886825,2.686861436,2.198099103,1.634718587,1.385977995,0.701026138,0.121627828,3.197604908,2.688775043,2.455110892,0.905651329,0.311925398,0,3.963313746,3.722480671,2.344334735,1.668428018,1.384190895,0.933303577,0.338160455,0.008196331,4.886954426,3.907469964,3.268705945,3.081871524,2.539167936,0.34601122,1
2.14181079,1.39798945,1.293578687,1.252933996,1.200498391,0.934904437,0.485945335,0.165493898,3.411470075,3.251785714,2.520704318,1.466530612,1.08054902,0.851203704,1.949221422,1.636320793,1.471441455,0.889163194,0.620311346,0.48582598,0.289950509,0.213903894,5.165234375,4.129974707,1.920386905,1.637777778,0.6125,0.266111111,1
2.14181079,1.39798945,1.28873211,1.250519157,0.583134402,0.463386097,0.220658531,0.019516478,3.411470075,2.592724441,1.527636054,1.293536113,1.08054902,0.851203704,2.084562621,1.636320793,1.471441455,1.23630553,0.853596666,0.326194323,0.285205193,-0.083449473,5.165234375,4.129974707,3.393087355,2.862673993,0.411428571,0.266111111,0
2.14181079,1.39798945,1.28873211,1.250519157,0.583134402,0.463386097,0.220658531,0.019516478,3.411470075,2.592724441,1.527636054,1.293536113,1.08054902,0.851203704,2.084562621,1.636320793,1.471441455,1.23630553,0.853596666,0.326194323,0.285205193,-0.083449473,5.165234375,4.129974707,3.393087355,2.862673993,0.411428571,0.266111111,0
3.476756221,3.310963202,3.185509324,3.006423685,2.815307003,1.986945312,1.060921574,-0.113222451,4.169806697,3.794007831,3.628663335,2.875253018,1.384299174,0.613063656,3.988319884,2.251916198,1.881239461,1.450962825,1.001804975,0.467598179,0.340294045,0.008248044,4.617040784,3.691654682,3.088170534,2.911655252,0.26760191,0,1
4.171996955,3.100281611,3.033309069,2.714925877,1.779916062,1.592557237,1.236751574,0.091341853,2.202108145,1.995676945,1.711610772,1.37006655,0.861820351,0,4.723970252,4.150115292,3.594578346,2.328913138,2.181553329,0.580876403,0.304192946,0.148167061,1.894168152,1.846526264,1.636345269,1.397327116,0.537190022,0.387966026,1
