Date.x,Player,Country,Runs.x,NotOut,Minutes,BallsFaced,Fours,Sixes,StrikeRate,Innings.x,Participation.x,Opposition.x,Ground,Team.x,Opponent.x,ID,OutPenalty,BattingImpact,Date.y,Overs,Maidens,Runs.y,Wickets,Economy,Innings.y,Participation.y,Opposition.y,Team.y,Opponent.y,BowlingImpact
1/2/25,MDKJ Perera ,SL,101,FALSE,78,46,13,4,219.5652174,1,B,NZL,Nelson,NZL SL,NZL,3081,0.5,20.26413043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/16/16,CH Gayle ,WI,100,TRUE,94,48,5,11,208.3333333,2,B,ENG,Wankhede,ENG WI,ENG,537,0,21.45833333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/8/18,RG Sharma ,IND,100,TRUE,NA,56,11,5,178.5714286,2,B,ENG,Bristol,ENG IND,ENG,690,0,19.51428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/27/19,DA Warner ,AUS,100,TRUE,NA,56,10,4,178.5714286,1,B,SL,Adelaide,AUS SL,SL,978,0,18.71428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/4/22,RR Rossouw ,RSA,100,TRUE,80,48,7,8,208.3333333,1,B,IND,Indore,IND RSA,IND,1805,0,20.55833333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/3/10,DPMD Jayawardene ,SL,100,FALSE,80,64,10,4,156.25,1,B,ZIM,Providence,SL ZIM,ZIM,157,0.5,17.65625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/27/16,E Lewis ,WI,100,FALSE,76,49,5,9,204.0816327,1,B,IND,Lauderhill,IND WI,IND,562,0.5,19.85204082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/26/23,Q de Kock ,RSA,100,FALSE,56,44,9,8,227.2727273,2,B,WI,Centurion,RSA WI,WI,2032,0.5,21.13181818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/14/23,SA Yadav ,IND,100,FALSE,82,56,7,8,178.5714286,1,B,RSA,Johannesburg,IND RSA,RSA,2401,0.5,19.31428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/7/24,Abhishek Sharma ,IND,100,FALSE,61,47,7,8,212.7659574,1,B,ZIM,Harare,IND ZIM,ZIM,2739,0.5,20.16914894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/29/24,GR Adair ,IRE,100,FALSE,90,58,5,9,172.4137931,1,B,RSA,Abu Dhabi,IRE RSA,RSA,2876,0.5,19.06034483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/21/12,LJ Wright ,ENG,99,TRUE,83,55,8,6,180,1,B,AFG,Colombo (RPS),AFG ENG,AFG,268,0,19.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/1/20,DJ Malan ,ENG,99,TRUE,NA,47,11,5,210.6382979,2,B,RSA,Cape Town,ENG RSA,RSA,1113,0,20.19095745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/20/20,Mohammad Hafeez ,PAK,99,TRUE,86,57,10,5,173.6842105,1,B,NZL,Hamilton,NZL PAK,NZL,1118,0,18.96710526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/22/21,DP Conway ,NZL,99,TRUE,79,59,10,3,167.7966102,1,B,AUS,Christchurch,AUS NZL,AUS,1123,0,17.81991525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/24/12,AD Hales ,ENG,99,FALSE,84,68,6,4,145.5882353,2,B,WI,Nottingham,ENG WI,WI,246,0.5,16.06470588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/17/05,RT Ponting ,AUS,98,TRUE,62,55,8,5,178.1818182,1,B,NZL,Auckland,AUS NZL,NZL,1,0,18.35454545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/7/10,DPMD Jayawardene ,SL,98,TRUE,85,56,9,4,175,1,B,WI,Bridgetown,SL WI,WI,166,0,18.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/24/13,Ahmed Shehzad ,PAK,98,TRUE,91,64,6,6,153.125,1,B,ZIM,Harare,PAK ZIM,ZIM,327,0,17.628125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/24/23,Mohammad Rizwan ,PAK,98,TRUE,NA,62,7,4,158.0645161,1,B,NZL,Rawalpindi,NZL PAK,NZL,2049,0,17.0516129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/13/24,Saim Ayub ,PAK,98,TRUE,95,57,11,5,171.9298246,1,B,RSA,Centurion,PAK RSA,RSA,3047,0,19.09824561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/9/10,CH Gayle ,WI,98,FALSE,88,66,5,7,148.4848485,1,B,IND,Bridgetown,IND WI,IND,169,0.5,17.21212121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
