"Date","Player","Country","Runs","NotOut","Minutes","BallsFaced","Fours","Sixes","StrikeRate","Innings","Participation","Opposition","Ground"
2012-03-22,"JH Stander ","Scotland",17,TRUE,23,15,1,0,113.333333333333,1,"B","Netherlands","ICCA Dubai"
2012-03-24,"Gulbadin Naib ","Afghanistan",17,TRUE,NA,8,0,2,212.5,1,"B","Ireland","Dubai (DICS)"
2012-09-12,"JA Morkel ","South Africa",17,TRUE,24,14,0,1,121.428571428571,2,"B","England","Birmingham"
2013-07-28,"TL Best ","West Indies",17,TRUE,8,9,0,2,188.888888888889,2,"B","Pakistan","Kingstown"
2014-03-14,"WD Parnell ","South Africa",17,TRUE,27,17,1,0,100,1,"B","Australia","Centurion"
2014-03-22,"TT Bresnan ","England",17,TRUE,9,8,2,1,212.5,1,"B","New Zealand","Chattogram"
2014-03-29,"TT Bresnan ","England",17,TRUE,9,4,1,2,425,2,"B","South Africa","Chattogram"
2014-03-30,"Mahmudullah ","BAN",17,TRUE,22,12,0,1,141.666666666667,2,"B","Pakistan","Mirpur"
2014-03-30,"Mashrafe Mortaza ","BAN",17,TRUE,10,9,4,0,188.888888888889,2,"B","Pakistan","Mirpur"
2015-07-15,"Babar Hayat ","Hong Kong",17,TRUE,37,22,0,0,77.2727272727273,2,"B","Nepal","Belfast"
2016-02-19,"CH Morris ","South Africa",17,TRUE,12,7,1,1,242.857142857143,2,"B","England","Cape Town"
2016-03-08,"PL Mommsen ","Scotland",17,TRUE,34,19,0,0,89.4736842105263,2,"B","Afghanistan","Nagpur"
2016-03-10,"Najibullah Zadran ","Afghanistan",17,TRUE,18,9,3,0,188.888888888889,2,"B","Hong Kong","Nagpur"
2016-03-12,"T Panyangara ","Zimbabwe",17,TRUE,12,7,0,2,242.857142857143,2,"B","Afghanistan","Nagpur"
2016-03-13,"Shakib Al Hasan ","BAN",17,TRUE,18,9,2,1,188.888888888889,1,"B","Oman","Dharamsala"
2017-01-20,"Nawroz Mangal ","Afghanistan",17,TRUE,NA,8,3,0,212.5,2,"B","Ireland","Dubai (DICS)"
2017-04-01,"JN Mohammed ","West Indies",17,TRUE,NA,15,2,0,113.333333333333,2,"B","Pakistan","Port of Spain"
2017-04-14,"S Bau ","Papau New Guinea",17,TRUE,NA,15,1,0,113.333333333333,1,"B","United Arab Emirates","Abu Dhabi"
2017-06-03,"LMP Simmons ","West Indies",17,TRUE,NA,14,1,0,121.428571428571,1,"B","Afghanistan","Basseterre"
2017-09-15,"Shoaib Malik ","Pakistan",17,TRUE,NA,7,0,2,242.857142857143,1,"B","World XI","Lahore"
2017-11-07,"C de Grandhomme ","New Zealand",17,TRUE,23,10,0,2,170,2,"B","India","Thiruvananthapuram"
2018-01-01,"KS Williamson ","New Zealand",17,TRUE,45,15,1,0,113.333333333333,1,"B","West Indies","Mount Maunganui"
2018-02-16,"LRPL Taylor ","New Zealand",17,TRUE,12,6,0,2,283.333333333333,1,"B","Australia","Auckland"
2018-04-02,"Shoaib Malik ","Pakistan",17,TRUE,NA,7,2,1,242.857142857143,1,"B","West Indies","Karachi"
2018-07-08,"Asif Ali ","Pakistan",17,TRUE,NA,11,1,1,154.545454545455,2,"B","Australia","Harare"
2018-10-24,"Hasan Ali ","Pakistan",17,TRUE,NA,8,2,1,212.5,1,"B","Australia","Abu Dhabi"
