Team 1,Team 2,Winner,Margin,Ground,Match Date,ID
Australia,West Indies,Australia,8 wickets,Sydney,23-Feb-10,147
Australia,West Indies,Australia,38 runs,Hobart,21-Feb-10,146
England,Pakistan,Pakistan,4 wickets,Dubai (DICS),20-Feb-10,145
England,Pakistan,England,7 wickets,Dubai (DICS),19-Feb-10,144
Afghanistan,Ireland,Afghanistan,8 wickets,Dubai (DICS),13-Feb-10,143
Ireland,Netherlands,Ireland,65 runs,Dubai (DICS),13-Feb-10,142
Afghanistan,Netherlands,Netherlands,4 wickets,Dubai (DICS),12-Feb-10,141
Ireland,Scotland,Ireland,37 runs,Dubai (DICS),11-Feb-10,140
Kenya,Netherlands,Netherlands,7 wickets,Abu Dhabi,11-Feb-10,139
Canada,Kenya,Kenya,9 wickets,Dubai (DICS),10-Feb-10,138
Afghanistan,Scotland,Afghanistan,14 runs,Abu Dhabi,10-Feb-10,137
Canada,Netherlands,Netherlands,6 wickets,Dubai (DICS),9-Feb-10,136
Afghanistan,Ireland,Afghanistan,13 runs,Dubai (DICS),9-Feb-10,135
Australia,Pakistan,Australia,2 runs,Melbourne,5-Feb-10,134
Kenya,Scotland,Kenya,10 wickets,Nairobi (Gym),4-Feb-10,133
Afghanistan,Canada,Afghanistan,5 wickets,Colombo (SSC),4-Feb-10,132
New Zealand,Bangladesh,New Zealand,10 wickets,Hamilton,3-Feb-10,131
Canada,Ireland,Canada,4 runs,Colombo (SSC),3-Feb-10,130
Kenya,Scotland,Kenya,10 wickets,Nairobi (Gym),1-Feb-10,129
Afghanistan,Ireland,Ireland,5 wickets,Colombo (PSS),1-Feb-10,128
India,Sri Lanka,India,6 wickets,Mohali,12-Dec-09,127
India,Sri Lanka,Sri Lanka,29 runs,Nagpur,9-Dec-09,126
South Africa,England,South Africa,84 runs,Centurion,15-Nov-09,125
New Zealand,Pakistan,Pakistan,7 runs,Dubai (DICS),13-Nov-09,124
South Africa,England,England,1 run,Johannesburg,13-Nov-09,123
New Zealand,Pakistan,Pakistan,49 runs,Dubai (DICS),12-Nov-09,122
Sri Lanka,New Zealand,New Zealand,22 runs,Colombo (RPS),4-Sep-09,121
Sri Lanka,New Zealand,New Zealand,3 runs,Colombo (RPS),2-Sep-09,120
England,Australia,no result,-,Manchester,30-Aug-09,119
Sri Lanka,Pakistan,Pakistan,52 runs,Colombo (RPS),12-Aug-09,118
West Indies,Bangladesh,West Indies,5 wickets,Basseterre,2-Aug-09,117
Pakistan,Sri Lanka,Pakistan,8 wickets,Lord's,21-Jun-09,116
Sri Lanka,West Indies,Sri Lanka,57 runs,The Oval,19-Jun-09,115
Pakistan,South Africa,Pakistan,7 runs,Nottingham,18-Jun-09,114
India,South Africa,South Africa,12 runs,Nottingham,16-Jun-09,113
New Zealand,Sri Lanka,Sri Lanka,48 runs,Nottingham,16-Jun-09,112
England,West Indies,West Indies,5 wickets,The Oval,15-Jun-09,111
Ireland,Pakistan,Pakistan,39 runs,The Oval,15-Jun-09,110
England,India,England,3 runs,Lord's,14-Jun-09,109
Ireland,Sri Lanka,Sri Lanka,9 runs,Lord's,14-Jun-09,108
