Player,Country,CareerBatImpact,CareerBowlImpact,MatchesPlayed,TotalImpact,BatImpactperGame,BatImpactperGame_Z,BowlImpactperGame,BowlImpactperGame_Z,TotalImpactperGame,TotalImpactperGame_Z
MJ Henry ,NZL,-4.051960784,82.54166667,21,78.48970588,-0.192950514,-0.557996954,3.930555556,1.391865924,3.737605042,0.83386897
MDKJ Perera ,SL,276.0129289,0,74,276.0129289,3.729904445,1.729148138,0,-0.674454097,3.729904445,1.05469404
JC Archer ,ENG,0.258333333,110.694617,30,110.9529503,0.008611111,-0.440480327,3.689820566,1.265309888,3.698431677,0.824829561
R Shepherd ,WI,74.16627323,114.0081628,51,188.1744361,1.454240651,0.402366156,2.235454173,0.500739498,3.689694825,0.903105654
MJ McClenaghan ,NZL,2.442857143,97.15,27,99.59285714,0.09047619,-0.392750468,3.598148148,1.217117069,3.688624339,0.824366601
Rishad Hossain ,BAN,4.08021978,84.1,24,88.18021978,0.170009158,-0.346380302,3.504166667,1.167710359,3.674175824,0.821330057
DJM Short ,AUS,78.367282,2.225,22,80.592282,3.562149182,1.63134166,0.101136364,-0.621286017,3.663285545,1.010055643
MP Stoinis ,AUS,178.9459464,69.95714286,68,248.9030893,2.631558036,1.088778401,1.028781513,-0.133616598,3.660339548,0.955161802
DPMD Jayawardene ,SL,189.4716167,-0.3,52,189.1716167,3.643684937,1.678879513,-0.005769231,-0.677487022,3.637915707,1.001392492
AD Mathews ,SL,175.2916593,140.9641319,87,316.2557912,2.014846659,0.729216701,1.620277378,0.177336836,3.635124037,0.906553537
NM Coulter-Nile ,AUS,8.324782891,89.74166667,27,98.06644956,0.308325292,-0.265737742,3.323765432,1.072872193,3.632090724,0.807134451
AC Agar ,AUS,0.67091153,169.9208333,47,170.5917449,0.014274713,-0.437178273,3.615336879,1.226153303,3.629611593,0.78897503
Usman Qadir ,PAK,-3.433333333,94.15833333,25,90.725,-0.137333333,-0.525570427,3.766333333,1.305533175,3.629,0.779962748
Sohail Tanvir ,PAK,22.08504829,177.1753623,55,199.2604106,0.401546332,-0.211387008,3.221370224,1.019042329,3.622916556,0.807655321
JO Holder ,WI,48.77432625,175.660989,62,224.4353153,0.786682682,0.013159328,2.833241759,0.815000532,3.61992444,0.828159861
JB Little ,IRE,-17.27940948,194.3989177,49,177.1195083,-0.35264101,-0.651101424,3.967324852,1.411195795,3.614683842,0.760094371
MG Bracewell ,NZL,23.83738622,80.96666667,29,104.8040529,0.821978835,0.033738072,2.791954023,0.793295287,3.613932858,0.827033358
CJ Jordan ,ENG,62.94512794,262.5542781,91,325.499406,0.691704703,-0.042215754,2.885211847,0.842321564,3.57691655,0.80010581
SCJ Broad ,ENG,2.142478355,190.15,54,192.2924784,0.039675525,-0.422368819,3.521296296,1.176715523,3.560971821,0.754346705
Mohammad Shahzad ,AFG,134.9548701,0,38,134.9548701,3.551443951,1.625100181,0,-0.674454097,3.551443951,0.950646084
LS Livingstone ,ENG,143.0352294,54.70833333,56,197.7435627,2.554200525,1.043676593,0.976934524,-0.160872916,3.531135049,0.882803677
BJ Bennett ,ZIM,67.26104092,20.83333333,25,88.09437425,2.690441637,1.123109351,0.833333333,-0.236365047,3.52377497,0.886744304
SL Malinga ,SL,-34.48845299,319.5481037,81,285.0596507,-0.42578337,-0.69374567,3.945038317,1.399479611,3.519254947,0.705733941
A Nortje ,RSA,-26.83333333,159.9797619,38,133.1464286,-0.706140351,-0.857202412,4.209993734,1.538768491,3.503853383,0.681566079
Abdur Razzak ,BAN,-31.05416667,129.0666667,28,98.0125,-1.109077381,-1.092127094,4.60952381,1.748804193,3.500446429,0.656677099
SC Williams ,ZIM,107.5403144,84.95833333,55,192.4986477,1.955278444,0.694486599,1.54469697,0.137603697,3.499975413,0.832090296
B Kumar ,IND,-19.62878788,312.3094156,84,292.6806277,-0.233676046,-0.581741192,3.717969233,1.280107835,3.484293187,0.698366644
Mohammad Saifuddin ,BAN,20.34083139,94.47862319,33,114.8194546,0.61638883,-0.086127224,2.862988581,0.830638641,3.479377411,0.744511417
JJ Roy ,ENG,222.6359518,0,64,222.6359518,3.478686747,1.582680494,0,-0.674454097,3.478686747,0.908226396
Washington Sundar ,IND,18.46229913,165.1833333,53,183.6456325,0.348345267,-0.242404866,3.116666667,0.963998951,3.465011933,0.721594085
YS Chahal ,IND,-11.41666667,284.6154762,79,273.1988095,-0.144514768,-0.529757424,3.602727547,1.21952449,3.458212779,0.689767066
S Dhawan ,IND,231.3256003,0,67,231.3256003,3.4526209,1.567483303,0,-0.674454097,3.4526209,0.893029206
SMSM Senanayake ,SL,-9.715530303,89.01666667,23,79.30113636,-0.422414361,-0.691781434,3.870289855,1.360183831,3.447875494,0.668402397
LM Jongwe ,ZIM,26.71128282,121.2814229,43,147.9927057,0.621192624,-0.083326465,2.820498208,0.80830116,3.441690831,0.724974695
T Shamsi ,RSA,-32.66666667,266.567803,68,233.9011364,-0.480392157,-0.725584272,3.92011475,1.386377121,3.439722594,0.660792848
Mohammad Ashraful ,BAN,54.76248335,17.275,21,72.03748335,2.607737303,1.074890181,0.822619048,-0.24199762,3.43035635,0.83289256
RL Chase ,WI,38.55618715,60.53333333,29,99.08952048,1.329523695,0.329652335,2.087356322,0.422883441,3.416880017,0.752535776
BA King ,WI,204.8099656,0,60,204.8099656,3.413499426,1.544674281,0,-0.674454097,3.413499426,0.870220183
BA Stokes ,ENG,82.96602841,63.79821429,43,146.7642427,1.929442521,0.679423462,1.483679402,0.105526343,3.413121923,0.784949805
K Rabada ,RSA,9.025664912,198.9391304,61,207.9647953,0.14796172,-0.359234637,3.26129722,1.040032225,3.40925894,0.680797589
Sikandar Raza ,ZIM,129.2990993,112.3382353,71,241.6373345,1.821114074,0.616264645,1.582228666,0.157334367,3.40334274,0.773599012
KMDN Kulasekara ,SL,-13.85586219,200.6518194,55,186.7959573,-0.251924767,-0.592380757,3.648214899,1.243437503,3.396290132,0.651056746
Abdul Razzaq ,PAK,42.9959655,65.13809524,32,108.1340607,1.343623922,0.337873201,2.035565476,0.395656638,3.379189398,0.733529839
SK Raina ,IND,226.6181308,33.08859649,77,259.7067273,2.943092608,1.270412638,0.429722032,-0.448546277,3.37281464,0.821866361
TL Seifert ,NZL,212.0802871,0,63,212.0802871,3.366353763,1.517186909,0,-0.674454097,3.366353763,0.842732812
KW Richardson ,AUS,-8.660714286,128.9482371,36,120.2875228,-0.240575397,-0.585763725,3.581895474,1.208572927,3.341320077,0.622809201
G Gambhir ,IND,120.0614841,0,36,120.0614841,3.335041225,1.498930737,0,-0.674454097,3.335041225,0.824476639
HE van der Dussen ,RSA,166.3524359,0,50,166.3524359,3.327048718,1.494270859,0,-0.674454097,3.327048718,0.819816762
